name,class,faces,vertices,face type,min x,min y,min z,max x,max y,max z,normalised_vertices,normalised_faces
m1337.obj,AircraftBuoyant,340,201,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,8892340064048767","0,9750000238418579","0,8892340064048767",11121.0,0.0
m1338.obj,AircraftBuoyant,16960,8761,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,9330580234527588","0,9750000238418579","0,9379010200500488",8761.0,0.0
m1339.obj,AircraftBuoyant,6173,10179,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,6070719957351685","0,9750000238418579","0,6268119812011719",7427.0,0.0
m1340.obj,AircraftBuoyant,1457,2425,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,367686003446579","0,9750000238418579","0,36768901348114014",3010.0,0.0
m1341.obj,AircraftBuoyant,824,425,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,3795750141143799","0,9750000238418579","0,3795750141143799",6623.0,0.0
m1342.obj,AircraftBuoyant,2305,1267,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,6115869879722595","0,9750000238418579","0,6093599796295166",4794.0,0.0
m1343.obj,AircraftBuoyant,344,178,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,7109209895133972","0,9750000238418579","0,7109209895133972",11014.0,0.0
m1344.obj,AircraftBuoyant,1930,1141,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,6740990281105042","0,9750000238418579","0,6740999817848206",4150.0,0.0
m1345.obj,AircraftBuoyant,6000,3240,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,6012769937515259","0,9750000238418579","0,6012769937515259",3174.0,0.0
m1346.obj,AircraftBuoyant,1375,742,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,32207900285720825","0,3547250032424927","0,9750000238418579",11191.0,0.0
m1347.obj,AircraftBuoyant,6274,4093,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,31208598613739014","0,4198809862136841","0,9750000238418579",3055.0,0.0
m1348.obj,AircraftBuoyant,1382,795,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,3216930031776428","0,3549579977989197","0,9750000238418579",11442.0,0.0
m1349.obj,AircraftBuoyant,640,432,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,9750000238418579","0,3852030038833618","0,2736479938030243",5475.0,0.0
m1350.obj,AircraftBuoyant,1976,1184,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,9750000238418579","0,2913169860839844","0,3050220012664795",4167.0,0.0
m1351.obj,AircraftBuoyant,24466,12987,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,20829999446868896","0,21924300491809845","0,9750000238418579",12987.0,0.0
m1352.obj,AircraftBuoyant,6348,5809,Tri,"0,02500000037252903","0,02500000037252903","0,02500000037252903","0,9750000238418579","0,37664198875427246","0,3326210081577301",3298.0,0.0
D00045.obj,Apartment,21021,14910,Tri,"-0,6131860017776489","-0,7009149789810181","-0,5320169925689697","0,829026997089386","0,7704150080680847","0,35425299406051636",14865.0,0.0
D00086.obj,Apartment,42064,32577,Tri,"-0,9208829998970032","-0,3434869945049286","-0,4154689908027649","0,8631619811058044","1,3248200416564941","0,2938790023326874",20462.0,0.0
D00138.obj,Apartment,21140,10827,Tri,"-0,7826820015907288","-0,5145350098609924","-0,317782998085022","0,7763389945030212","0,6331570148468018","0,1988849937915802",10710.0,0.0
D00156.obj,Apartment,19380,12840,Tri,"-0,8194800019264221","-0,7420709729194641","-0,6671379804611206","0,881168007850647","0,8428320288658142","0,5667330026626587",11745.0,0.0
D00310.obj,Apartment,9480,14464,Tri,"-0,7446560263633728","-0,38931599259376526","-0,36877501010894775","1,032979965209961","0,49435698986053467","0,3394339978694916",5934.0,0.0
D00348.obj,Apartment,3008,2078,Tri,"-0,9417099952697754","-0,4094899892807007","-0,8130249977111816","0,725458025932312","0,566411018371582","0,20519199967384338",6880.0,0.0
