file_name,Barycenter_X,Barycenter_Y,Barycenter_Z,Scaling_Factor,Num_Vertices,Num_Faces
m1337.obj,-2.5713203069525026e-15,3.95444252913748e-15,-9.122233424121263e-16,1.1311903306909001,5135,10262
m1338.obj,2.4747988303217336e-16,5.708040662471853e-16,4.769395963112028e-16,1.0996225165286495,4963,9918
m1339.obj,2.4140291347809535e-15,5.1186129054390074e-15,-1.106938319257439e-15,1.679957502549802,1878,6175
m1340.obj,3.7309021663253474e-15,-1.0201039511552864e-16,6.240633875829853e-15,2.925369059487055,5051,9839
m1341.obj,1.250873706080558e-15,-6.845573540046214e-15,2.6804336074704952e-15,2.8239758158947135,5008,10002
m1342.obj,-4.92875684177367e-16,-6.136761242404741e-15,3.288477009357552e-16,1.834923595441684,4794,9220
m1343.obj,1.8156018807564287e-15,-2.9270143507967344e-14,-5.322433285185131e-15,1.4421811668484419,5003,9994
m1344.obj,-8.396383025444408e-16,-5.038157983335235e-15,2.5714826957751604e-15,1.5422442631402353,4102,7720
m1345.obj,9.431578129154407e-17,-4.851255789648862e-15,-1.8777115618512787e-15,1.725417576467884,5063,9704
m1346.obj,1.2790676174092606e-15,4.59783870627586e-15,7.134869736154597e-15,1.8807854017316625,5068,9828
m1347.obj,6.295136430482808e-17,1.7840596482293584e-15,-2.94688367198977e-15,1.5286358175684136,3052,6268
m1348.obj,-2.684774839269439e-15,-4.063987354498249e-15,-3.2911964223889936e-15,1.9182597701491366,5074,10135
m1349.obj,-4.336876164798397e-15,2.4149664209244418e-15,-8.455508349235124e-16,1.6048254409335434,5039,9998
m1350.obj,1.2856766287543632e-14,-7.129836021461726e-16,1.200277112055755e-16,1.5493224288304996,4167,7904
m1351.obj,-2.7484335825506707e-16,1.786069728051778e-15,1.687391051043698e-15,1.594649281190597,5328,10120
m1352.obj,-6.6786066883299425e-15,2.433632726740512e-15,-4.603153976838512e-16,1.4914260939884871,5026,9914
D00045.obj,4.4234051419645577e-17,-1.4307509893146818e-18,1.3292074121563758e-16,0.8099612906203496,5587,7363
D00086.obj,-3.6855557539808843e-16,-1.1338522948443069e-16,3.441911120412354e-17,0.8151368954512404,20462,42108
D00138.obj,1.499546014199848e-16,1.9364342248096728e-16,2.466880245471782e-16,0.8058492059843971,5030,9867
D00156.obj,8.276045561784629e-17,3.4064236291032124e-16,2.6661136341085606e-17,0.6679655051415406,3728,6701
D00310.obj,-1.216118918109794e-19,-3.41448773161596e-18,1.4757135333216923e-17,0.7663617178733375,5934,9902
D00348.obj,2.767938594353498e-16,8.57187465755437e-17,-2.1783807655026752e-17,0.60227044945568,5173,8746
D00366.obj,8.088577464950526e-17,-1.5331334149292802e-16,-1.2355421402822053e-16,0.6900595302931682,5001,9876
